,Description,Classificació
1669,"El pas a la fase 2 també implica que a partir de demà obriran de manera limitada i parcial alguns centres educatius.Escoles, instituts i centres de cicles formatius podran fer tutories amb cita prèvia i classes col·lectives presencials amb un màxim de deu persones. Només hi podran acudir físicament els alumnes dels cicles de sext de primària, quart d'ESO, segon de batxillerat i segon dels cicles formatius d'FP. L'horari es limitarà fins a la una de la vesprada. A més, ni les escoletes ni l'educació infantil podran obrir encara.",ENSENYAMENT
1670,"Fins ací la compareixença del president de la Generalitat, Ximo Puig, que ha destacat la bona evolució de la pandèmia a la Comunitat Valenciana. Abans ha parlat Pedro Sánchez. //El president del govern espanyol ha anunciat que a partir del 8 de juny seran les comunitats autònomes les que gestionaran la desescalada, tret de la mobilitat. Serà l'últim pas en la transició cap a la nova realitat. De moment, el que comença demà és la fase 2, amb canvis també en les activitats que podrem fer. Demà podrem ajuntarnos en grups de fins a 15 persones.Acompanyats o a soles, tindrem la possiblitat d'anar a prendre el bany o el sol a la platja. I instal·larnos en un hotel o apartament turístic, que obriran les zones comunes.Podrem passejar o fer esport amb menys restricicons. Només caldrà respectar les dos franges horàries reservades a les persones majors de 70 anys, de 10 a 12 del matíi de 7 a 8 de la vesprada. Es podrà eixir del municipi per a fer esport, però no de la província.I tornar a la biblioteca, visitar una exposició un museu. Demanar taula en un restaurant, anar al teatre i al cine.També creixen les opcions per a comprar: al xicotet comerç i també als centres comercials sense límit de superfície.La mobilitat continua restringida a l'espai provincial, amb les excepcions que ja estaven vigents en la fase 1, com motius laborals o d'assistènciaa persones majors o depenents.Moltes opcions, i totes acompanyades de la prudència que no és una",MEDICINA I SANITAT
1671,La setmana que ve ja hi ha assenyalat un juí telemàtic amb el nom de Covid19 per a demanar que es compensen les visites d'un progenitor als fills durant la pandèmia. ,JUSTÍCIA I ORDRE  PÚBLIC
1672,Els socorristes s'enfronten a la temporada més incerta. Estan preocupats perquè encara no tenen els protocols d'actuació per a previndre el contagi de coronavirus. El que està clar és que serà un estiu sense boca a boca.,ACCIDENTS I CATÀSTROFES
1673,"Els bars i restaurants fan un pas més en la desescalada. A les terrasses, se sumen des de dilluns les taules a l'interior, amb certes condicions.Una mesura molt esperada pels hotelers ja que obrir només les terrasses generava pérdues, tot i tindre grans nivells d'ocupació. ",TURISME
1675,"A partir de demà les sales de cinema valencianes poden obrir al públic amb un aforament del 30% i complint amb el protocol de seguretat. No obstant la baixa rendibilitat i la falta d'estrenes farà que en la majoria de casos les portes s'obriguen ja en fase 3, quan es podrà omplir el 50% de la sala.De fet els Cines Babel obriran l'1 de juliol i ara es preparen per adaptarse a esta nova realitatTALL Antonio SuchSPITXSales més grans de centres comercials i d'oci es plantegen obrir a mitat de mes. ",CINEMA
1676,Ésl'aspecte de les nostres platges l'1 de Maig. Només les gavines disfruten de l'arena i de l'aigua de la mar quan falten hores perquè entre en vigor el nou decret del govern espanyol que alleuja les mesures de confinament que arrosseguem des de fa set setmanes.PLATGES DESERTES EN EL PONT DE MAIG,TURISME
1677,"La desescalada també permet que els propietaris d’embarcacions puguen fer faenesde manteniment, sempre que el vaixell estiga al mateix terme municipal on residix l'amo. En cas contrari, només hi podran anar quan arribe la fase 2, a principis de juny. Des de l’11 de maig es podrà navegar en grups tancats. La limitació geogràfica és la província. Recomanen que la tripulació estiga formada per membres d’una sola família o que compartisquen domicili. A mitjan juny està prevista la tornada a la normalitat de les activitats nàutiques d’esplai, sense cap tipus de restriccions.ES PERMET L'ACTIVITAT DE MANTENIMENT DE VAIXELLS","AGRICULTURA, RAMADERIA I PESCA"
1678,"Sobre el paper, dilluns que ve tenen permís per a obrir els serveis que puguen funcionar amb cita prèvia, com perruqueries i centres d'estètica. Però de moment, encara no s'ha publicat l'orde ministerial que ha de concretar quines mesures de seguretat i higiene han de complir obligatòriament.Això fa que alguns propietaris estiguen posposant l'obertura a les setmanes següents.RÈTOL: UNA OBERTURA AMB MOLTES INCÒGNITES","ECONOMIA, COMERÇ I FINANCES"
1679,"La prohibició de desplaçarse en cotxe o en transport públic per a poder fer esport, és un dels titulars que dona la lletra menuda l'ordre ministerial que regula les eixides.L'ordre recull específicament que els pares i mares podran acumular les eixides en solitari i les que facen amb els fills menors de 14 anys. A més, l'activitat física s'ha de fer sense parades sempre que siga possible. Una norma genèrica que no pot abastir totes les realitats possibles. Un exemple, Mislata, a la comarca de l'Horta.",SOCIETAT
1681,"I abans d'anar a publicitat els volem donar les gràcies. Perquè durant este mes d'abril, 2.400.000 persones han triat els continguts d'À Punt per a informarse i per a entretindre's. És a dir, la meitat dels habitats de la Comunitat Valenciana confia en À Punt. Els informatius són els continguts més vistos.2.400.000 PERSONES HAN VIST à PUNT A L'ABRIL ELS INFORMATIUS SÓN ELS CONTINGUTS MÉS VISTOS 'CELEBRITY SCHOOL' ÉS LA MILLOR ESTRENA",MITJANS DE COMUNICACIÓ
1682,"La Xina fa un pas més en la normalització de la vida pública, i reobri la Ciutat Prohibida de Pequín, un dels monuments més emblemàtics del país. Després del confinament, el país aposta per les noves tecnologies per a controlar el virus. L'últim avanç són estes ulleres que permeten controlar la temperatura dels vianants, i detectar possibles persones contagiades, amb un sensor infrarojos.DESCONFINAMENT AMB NOVES TECNOLOGIES",MEDICINA I SANITAT
1683,"La Covid19 pot provocar un doble drama a l'Àfrica: la crisi sanitària i l'alimentària. En les últimes dos setmanes el continent ha viscut una repuntada de casos positius en països en que només disposen d'un metge per cada 20 mil habitants.En el rànquing de contagis hi ha Sudàfrica, Egipte, el Marroc i Algèria.Un altre problema afegit és la crisi alimentària, que pot arribar a duplicarse.Especialment als països que integren l'Àfrica Occidental, on més de 19 milions de persones ja viuen en risc de crisi alimentària:tall Alicia garciaLa limitació de les persones que fugen de la violència en països com Mali i les restriccions de moviments de la transhumància endurixen els desafiaments a què s'enfronta el continent. ",MEDICINA I SANITAT
1686,"L'alta temporalitat i la dependència del sector turístic fan que a Espanya el terratrémol laboral provocat pel coronavirus siga més devastador que a la resta d'Europa. El govern preveu que es destruiran enguany un milió 900 mil llocs de treball, amb una taxa de desocupació del 19%. Al 2021 només es recuperarà la meitat dels treballs perduts.833.000 cotitzants menys a la Seguretat Social","ECONOMIA, COMERÇ I FINANCES"
1687," Notícia d'última hora. Tres jugadors del Colònia alemany han donat positiu per coronavirus. Això podria complicar la represa de la Bundesliga.Mentrestant, els dirigents dels 20 clubs de la lliga italiana han votat de mamera unànime el desig que es puga acabar la competició. Els executius volen que es jugue o poder cobrar igualment l'últim pagament dels drets televisius si el govern la cancel·la.A ITÀLIA, LA LLIGA I LA FEDERACIÓ VOLEN JUGAR",ESPORTS
1688,"L’orde ministerial que s’ha publicat hui parla concretament ""d’activitat física no professional a l’aire lliure"". El que sembra dubtes és el COM d’eixa activitat. Els detallem ara la lletra menuda de com poden fer els passejos a partir de demà.I per a possibiltar eixa distància, les entitats localitats facilitaran, segons recull l’article 3, el ‘repartiment de l’espai públic’, prioritzant els vianants i després els ciclistes.TALL. Simón. Lo que queremos es que no se produzcan situaciones que pongan en riesgo la salud de todos.Per això, l’article 2 no permet passejar ni fer esport en el carrer als ‘residents en centres sociosanitaris de majors’. Directrius genèriques per a les peculiaritats de 46 milions de ciutadans espanyolsTALL. Simón. No sé si para todas tenemos una respuesta muy clara.Clara és la definició de passejar. 'Caminar per un lloc per a distraure's, per a fer exercici, per a prendre l'aire Més enllà d'estes paraules una altra: trellat. ",MEDICINA I SANITAT | SOCIETAT
1690,"A la resta del món molts països han prohibit les manifestacions i on sí que han pogut eixir al carrer, a més de reivindicar els drets laborals, també s’han vist protestes contra mesures excepcionals d’alguns governs que es consideren autoritàries.",SOCIETAT
1692,"Alguns alcaldes demanen al govern espanyol una reflexió sobre les condicions de la desescalada per a trobar l'equilibri entre la seguretat sanitària i l'activitat econòmica. És el cas de Carlos González, alcalde d'Elx.",POLÍTICA
1693," Molts esportistes professionals veuen com s'acosta el moment somiat dels entrenaments després d'estar confinats. És el cas de Salma Paralluelo, futbolista del Villarreal i també atleta del Platges de Castelló, que ha hagut de recórrer a l'enginy per a practicar a casa els dos esports de la seua vida.",ESPORTS
1694," En futbol, el València ha rebut hui una bona notícia: la UEFA ha decidit que el sèptim classificat de la Lliga, és a dir, l'equip de Mestalla,jugarà a Europa si finalment no es disputa la final de la Copa del Rei. D'esta manera, el màxim organisme europeu descarta la proposta de la Federació Espanyola, que deixava el conjunt de Celades sense plaça per a jugar en l'Europa League. L'Athletic de Bilbao, el màxim afectat per esta decisió, ja ha mostrat el desacord.LA UEFA CONTRADIU EL CRITERI DE LA FEDERACIÓ",ESPORTS
1696,"El govern dona permís els llauradors per a tornar als horts particulars, fint i tot si no està en el mateix poble de residència. Després de la quarentena obligatòria moltes collites s'han fet malbé i els agricultots hauran de dedicar els primers dies a preparar el terreny per a plantar les nous cultius.","AGRICULTURA, RAMADERIA I PESCA"
1697," Són moltes les incerteses dels negocis que obriran dilluns, però el que està clar és que hauran d'obrir amb unes estrictes normes d'higiene i seguretat. hem visitat una clínica de medicina estètica que prepara la reobertura amb una neteja integral utilitzant boira higienitzant.",MEDICINA I SANITAT
1698,"El president de la Generalitat i els sindicats principals també han posat en valor, hui 1 de maig, la importància d'enfortir els serveis públics i de reconéixer el treball del personal sanitari. Ximo Puig s'ha reunit amb els secretaris generals d'UGT i Comissions Obreres que han demanat un canvi del model productiu i treballs i salaris dignes.",POLÍTICA | TREBALL
1699," El pròxim diumenge, a les 11, en partits de llegenda reviurem l'enfrontament definitiu de la final de la Copa ULEB del 2003, entre el València Basket i el Novo Mesto. Un jove Paco Olmos entrenava aquell equip. El valencià guarda grans records d'aquell primer títol europeu dels taronja.",ESPORTS
1700," Els comités tècnics d'àrbitres de la Federació d'Handbol de la Comunitat Valenciana i la madrilenya han fet esta vesprada un taller en línia de formació arbitral, en què àrbitres internacionals han analitzat més de 100 jugades arribades des d'Espanya, Xile, Bolívia i l'Argentina. La treta ràpida de centre ha sigut de les més comentades.",ESPORTS
1702," I dos històrics del conjunt valencianista, Claudio 'Piojo' López i Mario Alberto Kempes, s'han vist les cares hui. Això sí, a través d'una entrevista telemàtica. Els dos astres argentins han recordat temps passats amb un nexe comú, el València CF.",ESPORTS
1704,"els dubten envolten l'obertura de perruqueries, clíniques de fisioteràpia i centres d'estètica. Quan només falten dos dies perquè puguen alçar la persiana encara no saben quins protocols hauran d'aplicar ni si podran obrir amb tot el personal. Les agendes estan plenes, això sí, però els dubtes fan que molts es plantegen ajornar el moment una setmana més.José i Ángela treballen en el mateix lloc. Ell és osteòpata, i sense conéixer el protocol, ho té clartall abriré el lunes porque hace mucha falta ja ho té tot preparattall gel, mascarilla, masara de proteccio porque estamos muy cercangela retardarà més l'oberturatall yo abro el dia 11 poruqe no lo tengo claroencara que té l'agenda plenatalltodo el mes de mayoEl mateix li passa a Pablotall 500 watsaps, 180 llamadas Ell obrirà la perruqueria dilluns, però amb molts dubtes tall veu no tenemos protocolo Els 14 treballadors que té estan en un ERTO fins al dia 9 TALL no se cuantos puedo recuperar Sap que serà amb cita prèvia, però moltes coses canviarantall pondremos el tinte y no podremos atender a mas se atenderá a la mitad de gente i ha hagut de fer inversions tall pantallas de metalcrilatoperruqueries sense diaris ni revistes, i amb tot el material de seguretat a l'espera d'una incerta reobertura.",TREBALL
